Product Name,Original_Price,Selling_Price,Discount,Reviews,Ratings
Miduty Liposomal Glutathione 85% Capsules,1200.0,2054,25.0,217.0,4
Oziva Bioactive Gluta Fizzy (L-Glutathione) - Strawberry Swi...,1647.0,927,44.0,401.0,4
"Be Bodywise Biotin Hair Gummies - Zinc, Fibre, Multivitamin ...",899.0,849,6.0,10648.0,4
"Oziva ACV Moringa To Control Cravings, Apple Cider Vinegar, ...",800.0,599,25.0,2444.0,4
Plix Apple Cider Vinegar Effervescent Tablets with Vitamin B...,1400.0,1134,19.0,625.0,4
"Wellbeing Nutrition Pure Korean Marine Collagen Peptides, Fi...",1799.0,1529,15.0,1788.0,4
HealthKart HK Vitals Skin Radiance Collagen Supplement - Ora...,1200.0,1689,25.0,8579.0,4
Glutone 1000 Setria L-Glutathione & Vitamin C Effervescent T...,2447.0,1958,20.0,440.0,4
"OZiva Bioactive Gluta Fizzy (L-Glutathione), Reduce Cellular...",1149.0,959,17.0,337.0,4
Plix Glutathione Skin Glow 45 Effervescent Tablet 500mg for ...,1950.0,1443,26.0,1396.0,4
Beautywise Skin Brilliance Glutathione Dual Action for Skin ...,2899.0,2377,18.0,1356.0,5
Chicnutrix Glow - Japanese Glutathione & Vit. C Skin Brighte...,1980.0,970,51.0,2588.0,4
HealthKart HK Vitals Glutathione With Vitamin C Effervescent...,3036.0,2199,28.0,151.0,4
"Wellbeing Nutrition Glow Collagen Peptides, Reduces Pigmenta...",1999.0,1699,15.0,380.0,4
Oziva Advanced Hair Growth ActivesReduces Thinning Hair & Im...,2099.0,1849,12.0,219.0,5
Miduty Pigment Clear Glutathione Hyaluronic Acid Skin Bright...,1200.0,2428,25.0,163.0,4
Oziva Phyto Ceramide+ Collagen For Skin Barrier Repair Blueb...,1679.0,1279,24.0,303.0,4
"MOUNTAINOR Liposomal Glutathione Tablets for Glowing, Whiten...",1199.0,849,29.0,4479.0,4
Miduty Liver Detox Milk Thistle With NAC 900mg For Fatty Liv...,1200.0,1400,25.0,243.0,4
HealthKart HK Vitals Glutathione 15 Effervescent Tablets - O...,1518.0,1299,14.0,250.0,4
Oziva Protein & Herbs Women - Protein + Free Oziva Shaker,2078.0,1599,23.0,1511.0,4
HealthKart Hk Vitals Skin Radiance Collagen Supplement With ...,909.0,889,2.0,8579.0,4
Max Care Virgin Coconut Oil Cold Pressed,325.0,293,10.0,98364.0,5
Beautywise Body Shape Pro Slimming Capsules,2899.0,2377,18.0,58.0,4
Plum BodyLovin Vanilla Vibes Body Oil,299.0,245,18.0,43043.0,5
Wellbeing Nutrition Pure Korean Marine Collagen Supplements ...,1799.0,1529,15.0,1788.0,4
Oziva Plant Based Collagen Builder + Bioactive Gluta Fizzy S...,2108.0,1799,15.0,5216.0,4
"OZiva Bioactive Gluta Fizzy (L-Glutathione), Reduce Cellular...",2298.0,1399,39.0,2290.0,4
Orimii Bump Hydrating Body Butter for Reducing Stretch Marks...,695.0,626,10.0,247.0,4
Oziva Plant Based Collagen Builder + Watermelon & Bioactive ...,2108.0,2023,4.0,759.0,4
"Vit C Body Oil for Brightening, Dryness, Uneven Tone & Textu...",1200.0,1360,25.0,135.0,5
Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powde...,8799.0,7479,15.0,1970.0,4
"Bio-Oil Skincare Infused with Rosemary for Stretch Marks, Sc...",625.0,513,18.0,11808.0,4
Wellbeing Nutrition Slow Triple Strength Omega 3 Fish Oil 12...,899.0,764,15.0,109.0,4
"Bio-Oil Skincare Infused with Rosemary for Stretch Marks, Sc...",975.0,800,18.0,31619.0,4
Orimii Belly Treatment Elixir - Body Oil For Stretch Marks; ...,695.0,626,10.0,200.0,4
Plix The Plant Fix Pomegranate Youth Renewal Cleanser & Reti...,925.0,629,32.0,327.0,4
Cos-IQ Stretch Marks Removal Roll-On Serum With Striover For...,699.0,496,29.0,398.0,4
Oziva Hair Vitamins (with Dht Blocker & Omega 3) For Better ...,1698.0,1499,12.0,2748.0,4
Beautywise Skin Brilliance Glutathione Dual Action for Skin ...,1699.0,1410,17.0,1356.0,5
Plix Glutathione Skin Glow 15 Effervescent Tablet 500mg for ...,650.0,540,17.0,1255.0,4
"Carbamide Forte Vitamin D3 K2 Supplement, Supports Bone & He...",665.0,449,32.0,92.0,4
